City,Average Rainfall Annually,Winter Rainfall,Spring Rainfall,Summer Rainfall,Fall Rainfall,Latitude,Longitude,Cluster
Colleyville,36.14,2.13,3.07,2.16,4.22,-97.133331,32.883331,4
Colorado City,37.62,2.56,2.65,2.23,4.82,-100.849998,32.383331,1
Columbus,42.7,1.96,3.87,2.58,4.64,-96.533333,29.700001,5
Comanche,32.38,1.38,2.42,1.89,3.27,-98.599998,31.9,2
Commerce,44.46,2.38,3.37,3,5.54,-95.900002,33.233334,1
Concord,40.84,3.1,2.92,2.55,4.62,-96.133331,31.25,3
Conroe,48.49,3.78,2.67,3.43,5.2,-95.449997,30.299999,2
Cooper,44.8,3,3.41,3.29,4.06,-95.683334,33.366669,1
Coppell,36.14,2.13,3.07,2.16,4.22,-96.883331,32.733334,2
Copperas Cove,33.88,2.09,2.35,1.7,3.46,-97.900002,31.116667,3
Corrigan,48.95,4.18,3.05,3.05,4.83,-94.816666,30.983334,5
Coupland,35.17,2.55,2.08,1.71,4.29,-97.383331,30.450001,2
Crandall,40.15,2.83,2.88,2.6,4.44,-96.449997,32.616669,1
Cresson,36.01,1.85,2.51,2.14,4.15,-97.616669,32.516666,1
Crockett,43.14,3.13,2.71,2.79,4.5,-95.449997,31.316668,5
Crosby,54.58,4.06,3.02,5.2,6.38,-95.050003,29.9,1
Crowley,36.01,1.85,2.51,2.14,4.15,-97.349998,32.566666,3
Cuero,40.84,3.1,2.92,2.55,4.62,-97.283333,29.083332,1
Cushing,49.28,4.13,3.73,3.01,4.7,-94.833336,31.799999,2
Cypress,50.48,3.55,3.39,3.84,5.3,-95.666664,29.983334,4
Daingerfield,50.48,3.62,3.68,3.72,5.73,-94.716667,33.016666,1
Dallas,42.92,3.25,3.56,2.65,4.84,-96.800003,32.766666,3
Danbury,50.86,4.45,2.53,4.56,5.3,-95.333336,29.216667,5
Danevang,46.38,3.43,2.42,4.65,4.76,-96.199997,29.049999,5
Dayton,54.58,4.06,3.02,5.2,6.38,-94.883331,30.049999,5
De Leon,32.38,1.38,2.42,1.89,3.27,-98.533333,32.099998,2
Decatur,36.83,1.52,3.05,2.2,4.18,-97.583336,33.216667,5
Deer Park,54.65,3.87,3.25,4.66,5.99,-95.116669,29.683332,5
Denison,40.17,2.78,2.94,2.11,4.58,-96.550003,33.733334,4
Denton,38.36,1.92,3.21,2.49,4.74,-97.116669,33.200001,1
Deport,44.8,3,3.41,3.29,4.06,-95.316666,33.516666,3
Desoto,41.75,3.27,2.87,2.75,3.89,-96.849998,32.583332,4
Detroit,47.07,2.7,3.41,3.68,5.1,-95.25,33.650002,3
Diboll,48.95,4.18,3.05,3.05,4.83,-94.783333,31.183332,3
Dickinson,52.69,4.22,3.52,4.71,5.46,-95.050003,29.450001,2
Dime Box,36.61,2.58,2.05,2.11,5.04,-96.816666,30.35,2
Driftwood,37.58,2.25,2.38,2.91,4.21,-98.01667,30.116667,5
Dripping Springs,37.58,2.25,2.38,2.91,4.21,-98.083336,30.183332,5
Dublin,32.38,1.38,2.42,1.89,3.27,-98.333336,32.083332,3
Duncanville,41.75,3.27,2.87,2.75,3.89,-96.900002,32.633331,3
Eagle Lake,42.7,1.96,3.87,2.58,4.64,-96.316666,29.583332,3
East Bernard,49.08,3.4,3.29,4.15,5.31,-96.050003,29.516666,1
El Campo,46.38,3.43,2.42,4.65,4.76,-96.26667,29.183332,2
Elgin,35.17,2.55,2.08,1.71,4.29,-97.366669,30.333332,2
Elkhart,45.14,3.21,3.13,2.87,5.06,-95.566666,31.616667,5
Elm Mott,34.69,2.12,2.69,1.79,3.9,-97.083336,31.666668,5
Emory,43.97,3.15,3,3.39,4.78,-95.75,32.866669,1
Ennis,38.74,2.72,2.92,1.9,4.3,-96.616669,32.316666,2
Euless,36.14,2.13,3.07,2.16,4.22,-97.083336,32.833332,1
Eustace,41.22,2.52,2.82,4.18,4.64,-96,32.299999,2
Evadale,61.06,4.87,3.86,5.32,5.79,-94.050003,30.35,3
Evant,32.66,1.73,2.71,2.32,3.1,-98.150002,31.466667,1
Fairfield,40.84,3.1,2.92,2.55,4.62,-96.150002,31.716667,2
Farmersville,40.04,2.54,3.42,2.2,4.67,-96.366669,33.150002,4
Fate,38.58,2.19,3.24,2.22,4.52,-96.383331,32.933334,1
Ferris,39.59,2.85,3.06,2.17,4.48,-96.666664,32.533333,3
Flatonia,37.68,2.47,2.47,2.35,4.49,-97.099998,29.683332,3
Florence,32.12,1.91,2.22,1.84,3.13,-97.783333,30.833332,3
Flower Mound,38.46,2.28,3.44,2.27,4.44,-97.066666,33.016666,3
Forney,40.15,2.83,2.88,2.6,4.44,-96.466667,32.75,3
Fort Worth,37.8,1.84,3.09,3.07,4.76,-97.316666,32.75,1
Franklin,39.5,2.92,2.58,1.84,4.71,-96.48333,31.016666,3
Freeport,50.86,4.45,2.53,4.56,5.3,-95.349998,28.950001,3
Fresno,54.65,3.87,3.25,4.66,5.99,-95.449997,29.516666,3
Friendswood,54.65,3.87,3.25,4.66,5.99,-95.183334,29.5,3
Frisco,42.94,2.98,3.21,2.11,4.96,-96.800003,33.133331,5
Frost,39.05,2.48,2.87,1.86,4.51,-96.800003,32.066666,4
Fulshear,45.53,3.21,3.39,3.31,4.82,-95.883331,29.683332,4
Fulton,34.59,2.13,1.61,3.26,4.33,-97.033333,28.066668,2
Gainesville,42.07,2.25,3.08,2.75,5,-97.133331,33.616669,3
Galena Park,54.65,3.87,3.25,4.66,5.99,-95.23333,29.733334,2
Gallatin,47.16,3.82,3.25,2.86,4.98,-95.150002,31.9,1
Galveston,50.76,4.2,3.05,3.8,5.52,-94.816666,29.266666,2
Garland,38.58,2.19,3.24,2.22,4.52,-96.633331,32.900002,4
Gatesville,33.88,2.09,2.35,1.7,3.46,-97.73333,31.433332,5
Georgetown,37.32,2.18,2.73,2.07,4.19,-97.666664,30.65,5
Giddings,36.61,2.58,2.05,2.11,5.04,-96.933334,30.166668,3
Gilmer,48.2,3.73,3.3,3.44,4.92,-94.933334,32.716667,1
Gladewater,50.06,3.72,3.59,3.28,4.84,-94.933334,32.533333,3
Glen Rose,34.53,1.83,2.89,1.84,3.51,-97.75,32.233334,3
Gonzales,37.11,2.51,2.25,3.25,4.19,-97.433334,29.5,5
Granbury,36.87,1.91,2.78,2.24,3.81,-97.76667,32.433334,5
Grand Prairie,41.01,3.09,1.82,4.01,4.48,-96.98333,32.733334,1
Grand Saline,43.74,2.75,3.03,2.72,4.85,-95.699997,32.666668,3
Grapeland,46.6,3.66,3.29,2.65,5.07,-95.466667,31.483334,3
Grapevine,36.14,2.13,3.07,2.16,4.22,-97.083336,32.933334,2
Greenville,44.46,2.38,3.37,3,5.54,-96.099998,33.133331,2
Gregory,34.75,2.21,2.03,2.63,4.29,-97.283333,27.916668,5
Groesbeck,38.46,2.63,2.72,2.07,4.25,-96.51667,31.516666,1
Groves,60.47,5.26,3.21,5.95,5.58,-93.900002,29.933332,2
Hallettsville,37.68,2.47,2.47,2.35,4.49,-96.933334,29.433332,1
Haltom City,37.8,1.84,3.09,3.07,4.76,-97.26667,32.799999,4
Hamilton,33.51,1.75,2.45,2.08,3.26,-98.116669,31.700001,3
Hardin,54.24,4.11,3.31,3.42,6.17,-94.73333,30.15,3
Harker Heights,32.12,1.91,2.22,1.84,3.13,-97.650002,31.066668,1
Hawkins,48.2,3.73,3.3,3.44,4.92,-95.199997,32.583332,4
Hearne,39.5,2.92,2.58,1.84,4.71,-96.583336,30.866667,1
Helotes,32.27,1.76,2.1,2.74,4.11,-98.683334,29.549999,5
Hempstead,40.17,2.78,2.94,2.11,4.58,-96.066666,30.083332,3
Henderson,47.55,3.32,3.22,2.89,4.58,-94.800003,32.150002,1
Henrietta,32.37,1.58,2.85,2.41,3.6,-98.183334,33.816666,3
Hewitt,34.69,2.12,2.69,1.79,3.9,-97.183334,31.450001,5
Hico,34.53,1.83,2.89,1.84,3.51,-98.01667,31.983334,1
Highlands,54.58,4.06,3.02,5.2,6.38,-95.050003,29.816668,1
Hillister,56.18,4.57,3.89,3.85,4.85,-94.366669,30.666668,1
Hillsboro,39.03,2.44,2.88,1.9,4.76,-97.116669,32,4
Honey Grove,46.77,2.75,4.12,3.03,5.23,-95.900002,33.583332,4
Hooks,50.61,3.39,3.86,3.11,4.98,-94.26667,33.466667,3
Houston,52.69,4.22,3.52,4.71,5.46,-95.366669,29.75,5
Howe,41.22,2.52,2.82,4.18,4.64,-96.599998,33.5,5
Huffman,54.58,4.06,3.02,5.2,6.38,-95.083336,30.016666,5
Hughes Springs,50.48,3.62,3.68,3.72,5.73,-94.616669,32.983334,2
Humble,49.77,3.38,3.31,3.79,5.7,-95.25,29.983334,4
Hungerford,47.47,3.37,3.28,4.03,5.55,-96.066666,29.383333,5
Huntsville,46.14,3.82,2.97,3.38,4.8,-95.550003,30.716667,5
Hurst,36.14,2.13,3.07,2.16,4.22,-97.166664,32.833332,5
Hutchins,42.92,3.25,3.56,2.65,4.84,-96.699997,32.633331,5
Hutto,35.17,2.55,2.08,1.71,4.29,-97.533333,30.533333,1
Industry,40.87,2.55,3.26,3.46,4.78,-96.5,29.966667,2
Ingleside,34.75,2.21,2.03,2.63,4.29,-97.199997,27.866667,1
Irving,36.14,2.13,3.07,2.16,4.22,-96.949997,32.799999,2
Italy,38.61,2.5,3.39,2.02,3.5,-96.883331,32.166668,1
Jacksboro,32.38,1.14,2.56,1.75,4.02,-98.150002,33.216667,1
Jacksonville,46.3,4,3.07,2.97,5.22,-95.26667,31.950001,3
Jarrell,37.32,2.18,2.73,2.07,4.19,-97.599998,30.816668,1
Jasper,56.18,4.57,3.89,3.85,4.85,-93.98333,30.916668,5
Jewett,40.84,3.1,2.92,2.55,4.62,-96.133331,31.35,3
Johnson City,34,2.07,2.34,2.4,3.92,-98.400002,30.266666,4
Joshua,38.81,2.5,2.78,2.12,3.85,-97.383331,32.450001,3
Justin,37.44,1.85,3.06,2.56,4.19,-97.283333,33.083332,1
Katy,45.53,3.21,3.39,3.31,4.82,-95.816666,29.783333,3
Kaufman,40.46,3.07,2.58,2.48,4.91,-96.300003,32.583332,3
Keene,38.81,2.5,2.78,2.12,3.85,-97.316666,32.383331,2
Keller,37.44,1.85,3.06,2.56,4.19,-97.23333,32.916668,3
Kemah,52.69,4.22,3.52,4.71,5.46,-95.01667,29.533333,3
Kennedale,38.3,2.05,3.16,2.35,4.59,-97.216667,32.650002,3
Kilgore,47.55,3.32,3.22,2.89,4.58,-94.866669,32.383331,5
Killeen,32.12,1.91,2.22,1.84,3.13,-97.716667,31.1,3
Kingsland,32.41,1.84,2.15,2.04,3.4,-98.433334,30.666668,5
Klondike,44.8,3,3.41,3.29,4.06,-95.75,33.316666,1
Kosse,39.7,2.61,2.71,2.14,4.38,-96.616669,31.299999,1
Kountze,57.31,4.53,4.03,4.2,5.94,-94.300003,30.366667,2
Kyle,37.58,2.25,2.38,2.91,4.21,-97.866669,29.983334,3
La Grange,37.62,2.56,2.65,2.23,4.82,-96.866669,29.9,4
La Porte,54.65,3.87,3.25,4.66,5.99,-95.033333,29.65,3
La Vernia,33.54,1.88,2.34,2.45,4.68,-98.116669,29.35,4
Ladonia,44.46,2.38,3.37,3,5.54,-95.933334,33.416668,1
Lake Dallas,38.46,2.28,3.44,2.27,4.44,-97.01667,33.116669,2
Lake Jackson,50.86,4.45,2.53,4.56,5.3,-95.433334,29.033333,3
Lancaster,42.92,3.25,3.56,2.65,4.84,-96.75,32.583332,5
Lavon,40.04,2.54,3.42,2.2,4.67,-96.433334,33.016666,2
League City,52.69,4.22,3.52,4.71,5.46,-95.083336,29.483334,3
Leander,36.21,2.25,2.22,3.59,3.93,-97.849998,30.549999,5
Ledbetter,38.7,3.01,2.76,2.23,4.37,-96.783333,30.15,1
Lewisville,38.46,2.28,3.44,2.27,4.44,-97,33.033333,3
Lexington,36.61,2.58,2.05,2.11,5.04,-97,30.4,3
Liberty,57.11,4.47,3.59,5.45,5.06,-94.783333,30.049999,3
Liberty Hill,37.32,2.18,2.73,2.07,4.19,-97.916664,30.65,4
Lindale,45.79,3.06,3.17,2.64,4.85,-95.400002,32.5,3
Livingston,57.98,4.64,3.67,3.74,5.75,-94.933334,30.700001,2
Llano,33.25,1.68,2.33,1.85,3.4,-98.666664,30.75,4
Lockhart,36.96,2.38,2.7,1.96,3.62,-97.666664,29.866667,1
Lolita,42.07,2.25,3.08,2.75,5,-96.533333,28.833332,3
Lometa,32.49,1.73,2.19,2.07,3.41,-98.383331,31.216667,2
Lone Star,50.48,3.62,3.68,3.72,5.73,-94.699997,32.933334,1
Longview,47.55,3.32,3.22,2.89,4.58,-94.75,32.5,5
Lott,38.46,2.63,2.72,2.07,4.25,-97.033333,31.200001,5
Louise,46.38,3.43,2.42,4.65,4.76,-96.400002,29.1,3
Lovelady,43.14,3.13,2.71,2.79,4.5,-95.433334,31.116667,5
Lufkin,48.95,4.18,3.05,3.05,4.83,-94.716667,31.333332,2
Luling,33.09,2.24,2.59,1.9,4.28,-97.633331,29.666668,5
Lumberton,61.06,4.87,3.86,5.32,5.79,-94.199997,30.25,1
Mabank,42.7,1.96,3.87,2.58,4.64,-96.099998,32.366669,4
Madisonville,43.14,3.13,2.71,2.79,4.5,-95.900002,30.950001,2
Magnolia,46.77,4.18,3.03,2.72,5.49,-95.75,30.200001,2
Malakoff,41.68,3.54,2.8,2.37,4.63,-96.01667,32.166668,5
Malone,39.05,2.48,2.87,1.86,4.51,-96.883331,31.916668,2
Manor,32.15,2.23,2.28,2.45,3.95,-97.550003,30.333332,3
Mansfield,38.3,2.05,3.16,2.35,4.59,-97.116669,32.566666,1
Manvel,54.65,3.87,3.25,4.66,5.99,-95.349998,29.466667,3
Marble Falls,32.41,1.84,2.15,2.04,3.4,-98.26667,30.566668,4
Markham,44.59,3.37,2.6,4.76,4.98,-96.050003,28.950001,1
Marshall,51.34,3.76,3.17,3.87,4.96,-94.366669,32.533333,2
Martindale,34.62,1.86,2.28,2.62,4.25,-97.833336,29.833332,5
Mauriceville,64.21,5.4,3.5,5.77,6.04,-93.866669,30.200001,1
Maypearl,38.61,2.5,3.39,2.02,3.5,-97,32.299999,4
Medina,37.37,2,2.37,3.96,4.36,-99.23333,29.783333,3
Melissa,40.04,2.54,3.42,2.2,4.67,-96.566666,33.283333,3
Mesquite,40.15,2.83,2.88,2.6,4.44,-96.583336,32.766666,3
Mexia,43.12,2.96,3.12,2.08,4.37,-96.466667,31.666668,3
Midfield,44.59,3.37,2.6,4.76,4.98,-96.199997,28.933332,2
Midlothian,40.46,3.07,2.58,2.48,4.91,-96.98333,32.466667,2
Milford,39.03,2.44,2.88,1.9,4.76,-96.933334,32.116669,3
Mineola,44.58,2.95,3.09,3.23,4.86,-95.48333,32.650002,3
Missouri City,49.48,3.6,3.32,4.36,5.23,-95.533333,29.566668,2
Mont Belvieu,57.11,4.47,3.59,5.45,5.06,-94.866669,29.85,5
Montgomery,46.77,4.18,3.03,2.72,5.49,-95.683334,30.383333,4
Mount Pleasant,47.42,2.77,3.34,3.68,5.22,-94.966667,33.150002,5
Mount Vernon,47.42,2.77,3.34,3.68,5.22,-95.216667,33.183334,5
Muenster,37.83,1.91,3.55,2.38,4.19,-97.366669,33.650002,3
Mumford,39.5,2.92,2.58,1.84,4.71,-96.550003,30.733334,3
Murchison,45.79,3.06,3.17,2.64,4.85,-95.75,32.266666,2
Nacogdoches,49.28,4.13,3.73,3.01,4.7,-94.650002,31.6,5
Naples,50.48,3.62,3.68,3.72,5.73,-94.666664,33.200001,5
Nash,49.17,3.75,3.79,3.29,4.92,-94.116669,33.433334,5
Navasota,40.55,2.59,3.4,2.51,4.46,-96.083336,30.383333,3
Neches,46.3,4,3.07,2.97,5.22,-95.48333,31.866667,5
Nederland,60.47,5.26,3.21,5.95,5.58,-93.98333,29.966667,4
Needville,49.08,3.4,3.29,4.15,5.31,-95.833336,29.383333,5
Nevada,40.04,2.54,3.42,2.2,4.67,-96.366669,33.033333,3
New Boston,50.61,3.39,3.86,3.11,4.98,-94.416664,33.450001,5
New Braunfels,34.62,1.86,2.28,2.62,4.25,-98.116669,29.700001,1
New Caney,49.77,3.38,3.31,3.79,5.7,-95.199997,30.15,5
New Summerfield,46.3,4,3.07,2.97,5.22,-95.099998,31.966667,5
New Summerfield,46.3,4,3.07,2.97,5.22,-95.099998,31.966667,5
New Waverly,48.49,3.78,2.67,3.43,5.2,-95.466667,30.533333,5
Newark,37.44,1.85,3.06,2.56,4.19,-97.48333,33,3
Newton,59.75,5.27,3.94,3.89,5.54,-93.75,30.85,4
Nocona,37.56,1.56,3.39,1.89,4.21,-97.716667,33.783333,3
Nolanville,32.12,1.91,2.22,1.84,3.13,-97.599998,31.066668,1
Normangee,39.5,2.92,2.58,1.84,4.71,-96.099998,31.016666,3
North Richland Hills,37.8,1.84,3.09,3.07,4.76,-97.216667,32.849998,3
Old Ocean,50.86,4.45,2.53,4.56,5.3,-95.73333,29.066668,5
Orange,64.21,5.4,3.5,5.77,6.04,-93.75,30.1,4
Overton,47.55,3.32,3.22,2.89,4.58,-94.966667,32.266666,5
Palacios,44.59,3.37,2.6,4.76,4.98,-96.216667,28.700001,2
Palestine,45.14,3.21,3.13,2.87,5.06,-95.633331,31.75,2
Paradise,39.79,1.74,3.22,2.55,4.49,-97.683334,33.150002,3
Paris,46.77,2.75,4.12,3.03,5.23,-95.550003,33.650002,5
Pasadena,54.65,3.87,3.25,4.66,5.99,-95.166664,29.666668,4
Pattison,45.53,3.21,3.39,3.31,4.82,-95.98333,29.816668,2
Pearland,54.65,3.87,3.25,4.66,5.99,-95.283333,29.549999,4
Pendleton,36.78,2.13,2.59,1.93,3.97,-97.333336,31.183332,3
Pflugerville,36.21,2.25,2.22,3.59,3.93,-97.616669,30.433332,1
Pilot Point,41.75,3.27,2.87,2.75,3.89,-96.949997,33.383331,2
Pinehurst,64.21,5.4,3.5,5.77,6.04,-95.683334,30.166668,4
Pittsburg,46.84,3.46,3.38,3.08,4.98,-94.966667,32.983334,5
Plano,42.72,2.97,2.46,4,4.67,-96.683334,33.016666,2
Point Comfort,42.07,2.25,3.08,2.75,5,-96.550003,28.666668,2
Ponder,38.36,1.92,3.21,2.49,4.74,-97.283333,33.166668,3
Port Aransas,34.75,2.21,2.03,2.63,4.29,-97.066666,27.833332,1
Port Arthur,60.47,5.26,3.21,5.95,5.58,-93.933334,29.883333,4
Port Lavaca,41.56,2.11,3.6,2.57,4.53,-96.616669,28.6,2
Port Neches,60.47,5.26,3.21,5.95,5.58,-93.949997,29.966667,4
Porter,49.77,3.38,3.31,3.79,5.7,-95.216667,30.1,5
Portland,32.49,1.53,1.83,2.93,3.77,-97.316666,27.866667,1
Pottsboro,40.17,2.78,2.94,2.11,4.58,-96.666664,33.766666,3
Prairie Hill,39.05,2.48,2.87,1.86,4.51,-96.783333,31.65,3
Prosper,40.17,2.78,2.94,2.11,4.58,-96.783333,33.233334,3
Queen City,49.17,3.75,3.79,3.29,4.92,-94.150002,33.150002,5
Ranger,34.57,1.36,2.45,2.48,3.64,-98.666664,32.466667,1
Raywood,57.11,4.47,3.59,5.45,5.06,-94.666664,30.033333,4
Reagan,39.7,2.61,2.71,2.14,4.38,-96.783333,31.216667,3
Red Oak,39.59,2.85,3.06,2.17,4.48,-96.800003,32.533333,3
Red Rock,36.96,2.38,2.7,1.96,3.62,-97.433334,29.950001,3
Redwater,50.61,3.39,3.86,3.11,4.98,-94.25,33.349998,5
Refugio,34.43,1.9,1.78,3.27,4.06,-97.26667,28.299999,1
Rice,38.74,2.72,2.92,1.9,4.3,-96.48333,32.233334,3
Richardson,37.57,2.06,3.07,2.21,4.79,-96.699997,32.950001,3
Richmond,49.48,3.6,3.32,4.36,5.23,-95.75,29.566668,5
Riesel,36.37,2.26,2.57,1.91,3.95,-96.916664,31.466667,1
Roanoke,37.44,1.85,3.06,2.56,4.19,-97.216667,33,3
Robstown,32.49,1.53,1.83,2.93,3.77,-97.666664,27.783333,1
Rockdale,35.07,2.45,2.16,2.25,3.86,-97,30.65,1
Rockport,34.59,2.13,1.61,3.26,4.33,-97.050003,28.016666,1
Rockwall,38.58,2.19,3.24,2.22,4.52,-96.449997,32.916668,3
Rogers,34.16,2.23,2.06,1.7,3.58,-97.216667,30.916668,1
Rosebud,39.7,2.61,2.71,2.14,4.38,-96.966667,31.066668,3
Rosenberg,49.48,3.6,3.32,4.36,5.23,-95.800003,29.549999,5
Rosharon,53.5,4.68,3.18,4.67,5.25,-95.449997,29.35,4
Round Rock,36.21,2.25,2.22,3.59,3.93,-97.666664,30.5,1
Round Top,38.7,3.01,2.76,2.23,4.37,-96.683334,30.049999,3
Royse City,38.58,2.19,3.24,2.22,4.52,-96.316666,32.966667,3
San Augustine,55.52,4.68,4.02,3.89,5.21,-94.099998,31.516666,4
San Marcos,34.62,1.86,2.28,2.62,4.25,-97.933334,29.866667,1
Sanger,38.36,1.92,3.21,2.49,4.74,-97.166664,33.349998,3
Santa Fe,52.69,4.22,3.52,4.71,5.46,-95.099998,29.366667,5
Savoy,43.6,2.47,3.55,2.62,5.29,-96.366669,33.583332,2
Schertz,32.27,1.76,2.1,2.74,4.11,-98.25,29.566668,1
Schulenburg,37.68,2.47,2.47,2.35,4.49,-96.900002,29.666668,3
Scottsville,56.44,4.58,4.37,3.84,5.47,-94.23333,32.533333,4
Seabrook,52.69,4.22,3.52,4.71,5.46,-95.01667,29.566668,5
Seadrift,42.39,3.06,2.3,4.06,4.78,-96.699997,28.4,2
Seagoville,39.59,2.85,3.06,2.17,4.48,-96.550003,32.650002,3
Sealy,45.53,3.21,3.39,3.31,4.82,-96.150002,29.766666,2
Seguin,34.62,1.86,2.28,2.62,4.25,-97.949997,29.566668,1
Shelbyville,52,4.09,4.31,3.63,5.26,-94.066666,31.75,5
Sherman,40.17,2.78,2.94,2.11,4.58,-96.599998,33.633331,3
Shiner,37.68,2.47,2.47,2.35,4.49,-97.166664,29.416668,3
Silsbee,61.06,4.87,3.86,5.32,5.79,-94.166664,30.333332,4
Smithville,35.09,2.18,2.5,2.21,4.46,-97.150002,30,1
South Houston,54.65,3.87,3.25,4.66,5.99,-95.216667,29.65,4
Southlake,36.14,2.13,3.07,2.16,4.22,-97.133331,32.933334,1
